102,'ANIMALS WITH ERIC BURDON','MONTEREY',0
103,'ANIMALS WITH ERIC BURDON','SKY PILOT',0
104,'PAUL ANKA','DIANA',0
105,'PAUL ANKA','YOU ARE MY DESTINY',0
106,'PAUL ANKA','LET THE BELLS KEEP RINGING',0
107,'PAUL ANKA','CRAZY LOVE',0
108,'P. ANKA /G. HAMILTON /J. NASH','THE TEEN COMMANDMENTS',0
109,'PAUL ANKA','(ALL OF A SUDDEN) MY HEART SINGS',0
110,'PAUL ANKA','I MISS YOU SO',0
111,'PAUL ANKA','LONELY BOY',1
112,'PAUL ANKA','PUT YOUR HEAD ON MY SHOULDER',0
113,'PAUL ANKA','IT*S TIME TO CRY',0
114,'PAUL ANKA','PUPPY LOVE',0
115,'PAUL ANKA','MY HOME TOWN',0
116,'PAUL ANKA','HELLO; YOUNG LOVERS',0
117,'PAUL ANKA','I LOVE YOU IN THE SAME OLD WAY',0
118,'PAUL ANKA','SUMMER*S GONE',0
119,'PAUL ANKA','THE STORY OF MY LOVE',0
120,'PAUL ANKA','TONIGHT; MY LOVE; TONIGHT',0
121,'PAUL ANKA','DANCE ON LITTLE GIRL',0
122,'PAUL ANKA','KISSIN* ON THE PHONE',0
123,'PAUL ANKA','LOVE ME WARM AND TENDER',0
124,'PAUL ANKA','A STEEL GUITAR AND A GLASS OF WINE',0
125,'PAUL ANKA','ESO BESO',0
126,'PAUL ANKA','LOVE (MAKES THE WORLD GO ROUND)',0
127,'PAUL ANKA','REMEMBER DIANA',0
128,'PAUL ANKA','GOODNIGHT MY LOVE',0
129,'PAUL ANKA AND ODIA COATES','(YOU*RE) HAVING MY BABY',1
130,'PAUL ANKA AND ODIA COATES','ONE MAN WOMAN / ONE WOMAN MAN',0
131,'PAUL ANKA','I DON*T LIKE TO SLEEP ALONE',0
132,'PAUL ANKA AND ODIA COATES','I BELIEVE THERE*S NOTHING STRONGER THAN OUR LOVE',0
133,'PAUL ANKA','TIMES OF YOUR LIFE',0
134,'PAUL ANKA','ANYTIME (I*LL BE THERE)',0
135,'PAUL ANKA','THIS IS LOVE',0
136,'ANN-MARGARET','I JUST DON*T UNDERSTAND',0
137,'ANNETTE','TALL PAUL',0
138,'ANNETTE','FIRST NAME INITIAL',0
139,'ANNETTE','O; DIO MIO',0
140,'ANNETTE','TRAIN OF LOVE',0
